Incident_ID;Injury;Gender;School_Affiliation;Age;Race
20220519LAHAH;Wounded;;;Adult;
20220519LAHAH;Wounded;;;Adult;
20220519LAHAH;Non-gunshot Injury;;;Adult;
20220519LAHAH;Wounded;;;Adult;
20220518TNRIM;Fatal;Male;Student;18;
20220518TNRIM;Wounded;;;;
20220517ILWAC;Wounded;Male;Student;7;
20220515NHBEB;Non-gunshot Injury;Male;No Relation;13;
20220515NHBEB;Non-gunshot Injury;Female;No Relation;12;
20220515ILMEP;Wounded;Male;No Relation;17;
20220513GASOM;Wounded;Male;;21;
20220513FLALW;Fatal;Male;Former Student;33;
20220512TXHEH;Wounded;;Student;Teen;
20220512ARHOH;Wounded;;;;
20220512ARHOH;Wounded;;;;
20220512ARHOH;Fatal;Male;;39;
20220511FLJAJ;Wounded;Male;Student;17;
20220509NYEDS;Fatal;Male;;26;
20220509GARIS;Non-gunshot Injury;Female;Bus Driver;Adult;
20220501VALOM;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20220501VALOM;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20220501OHHAC;Fatal;Male;;Adult;
20220430PAMCJ;None;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20220427TXMOS;Wounded;Male;No Relation;Adult;
20220426GASOM;Fatal;Male;;15;Black
20220424MOHAF;Fatal;Male;No Relation;Adult;
20220422DCEDW;Wounded;Female;Parent;Adult;
20220422DCEDW;Wounded;Female;Student;12;
20220422DCEDW;Non-gunshot Injury;Female;Student;16;
20220422DCEDW;Wounded;Male;Security Guard;Adult;
20220422DCEDW;Wounded;Female;No Relation;Adult;
20220421NDMOM;Fatal;Male;;34;
20220416IAMED;Wounded;;;Adult;
20220415VAGAW;Wounded;Female;Student;Teen;
20220414MSNEP;Wounded;Male;Student;Teen;
20220414MSNEP;Non-gunshot Injury;Male;Student;Teen;
20220414MSNEP;Wounded;Male;Student;Teen;
20220413MISHS;Non-gunshot Injury;;Student;Child;
20220410MALYL;Fatal;Male;No Relation;20;
20220406WASTM;None;;Student;Child;
20220406WASTM;None;;Student;Child;
20220406ORROP;Wounded;;;Adult;
20220405PAERE;Wounded;;Student;Teen;
20220403INBLB;Wounded;Male;;17;
20220331SCTAG;Fatal;Male;Student;12;Black
20220330AZKIK;Wounded;Male;Student;15;
20220329NVWEL;Wounded;Male;Student;16;
20220329NVWEL;Wounded;Male;Nonstudent;Teen;
20220329NVWEL;Non-gunshot Injury;Female;Student;Teen;
20220328NCOAC;Wounded;Male;No Relation;16;
20220322FLNEN;Non-gunshot Injury;Female;Other Staff;Adult;
20220321MIMAK;None;Male;Parent;Adult;
20220319ALCEL;None;Male;No Relation;Adult;
20220318RICEP;Non-gunshot Injury;;Other Staff;Adult;
20220318ILBAB;Non-gunshot Injury;Male;Student;Teen;
20220318ILBAB;Non-gunshot Injury;Male;Student;Teen;
20220315WAEIY;Fatal;Male;Student;16;
20220315WAEIY;Wounded;Male;Student;18;
20220315MDPAB;Wounded;Male;Student;18;
20220315MATEB;Wounded;;Student;17;
20220315MATEB;Wounded;;Teacher;31;
20220311OHFAP;None;Male;No Relation;43;
20220311CADER;Non-gunshot Injury;Male;Student;Teen;
20220310TNHAM;None;;Student;Child;
20220310TNHAM;None;;Student;Child;
20220310TNHAM;None;;Student;Child;
20220310TNHAM;None;;Student;Child;
20220310TNHAM;None;;Student;Child;
20220310MDCOL;Fatal;Male;;Adult;
20220309TXNOH;Wounded;Female;Student;17;
20220309FLNOM;Wounded;Male;Student;17;
20220309FLNOM;Wounded;Male;Student;18;
20220309FLNOM;Wounded;;Student;Teen;
20220307IAEAD;Fatal;Male;Former Student;15;Hispanic
20220307IAEAD;Wounded;Female;Student;16;
20220307IAEAD;Wounded;Female;Student;18;
20220304KSOLO;Wounded;Male;Principal/Vice-Principal;Adult;
20220304KSOLO;Wounded;Male;Police Officer/SRO;Adult;
20220303MIJWL;Wounded;Male;;17;
20220228NYBOB;Wounded;Male;Student;14;
20220227DCDUW;Fatal;Male;No Relation;32;
20220225NMWEA;Fatal;Male;Student;16;
20220222TXALH;Fatal;Male;No Relation;Adult;
20220222COLIP;Fatal;Male;No Relation;Adult;
20220221MDJOH;Fatal;Male;No Relation;18;
20220220OKWIW;Wounded;Male;Police Officer/SRO;Adult;
20220220MSMCM;Wounded;;;;
20220220MSMCM;Wounded;;;;
20220220MSMCM;Wounded;;;;
20220220MSMCM;Wounded;;;;
20220220MSMCM;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;6;
20220219VACAC;Fatal;Male;;17;
20220218MATET;Non-gunshot Injury;;Student;Teen;
20220218MATET;Non-gunshot Injury;Female;Student;Teen;
20220218MATET;Non-gunshot Injury;;Student;Teen;
20220218MATET;Non-gunshot Injury;;Student;Teen;
20220218MATET;Non-gunshot Injury;;Student;Teen;
20220218MATET;Non-gunshot Injury;;Student;Teen;
20220218MATET;Non-gunshot Injury;;Student;Teen;
20220217WAMCG;Wounded;Male;Gang Member;Adult;
20220211DCEAW;Wounded;Male;;Adult;
20220209NYMCB;Wounded;Male;Police Officer/SRO;Adult;
20220209NYMCB;Wounded;Male;Student;13;
20220209MNMIM;Wounded;;Bus Driver;Adult;
20220208MDCAC;Wounded;Male;Student;16;
20220208MDCAC;Wounded;;Student;16;
20220204ALWEB;Wounded;;Student;16;
20220201WIRUM;Wounded;Female;Student;15;
20220201WIRUM;Wounded;Female;Student;15;
20220201WIRUM;Wounded;Female;Student;16;
20220201WIRUM;Wounded;Female;Student;17;
20220201WIRUM;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;20;
20220201MNSOR;Fatal;Male;Student;15;Black
20220201MNSOR;Wounded;Male;Student;17;
20220201MNSOR;Wounded;Male;Student;19;
20220201ILALC;Wounded;Female;No Relation;16;
20220129WIBEB;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;19;
20220128LACAM;None;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20220128LACAM;None;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20220127TXMOH;Wounded;Female;No Relation;Adult;
20220126PABAP;Fatal;Male;Student;17;Black
20220124NVSUL;Wounded;;;;
20220121MDMAR;Wounded;Male;Student;15;
20220119VAMAP;Wounded;Male;Student;Teen;
20220119PAPIP;Fatal;Male;Student;15;Black
20220119FLSES;Wounded;Male;Student;17;
20220119DCANW;None;Male;;;
20220117TXPYH;Fatal;Male;No Relation;Adult;
20220117TXPYH;Fatal;Female;No Relation;Adult;
20220106CAFLS;Wounded;Male;Student;17;
20220106CAFLS;Wounded;Male;Student;17;
20220104ILAUR;Wounded;Male;Student;15;
20220104ILAUR;Wounded;Female;Student;17;
20211229NCCAS;Wounded;Male;Student;13;
20211229NCCAS;Wounded;Male;Student;14;
20211214VAMEN;Fatal;Male;Student;17;
20211213NCWEC;None;Male;Student;Teen;
20211212NYSCR;Fatal;Male;No Relation;25;
20211211FLEDL;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20211208MOEWK;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20211208MOEWK;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Teen;
20211208KYSTL;None;;No Relation;Adult;
20211207ILHAC;Fatal;Male;No Relation;71;Asian
20211206NYSUS;Wounded;Male;Student;16;
20211206CAWIW;Fatal;Male;;13;
20211206CAWIW;Wounded;Female;;30;
20211206CAWIW;Wounded;Female;Student;9;
20211203ARBLB;None;Male;No Relation;Adult;
20211201TXSAP;None;Male;Student;Teen;
20211130TNHUH;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;21;
20211130TNHUH;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;18;
20211130TNHUH;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20211130MIOXO;Fatal;Male;Student;17;
20211130MIOXO;Wounded;Male;Student;14;
20211130MIOXO;Wounded;Male;Teacher;47;
20211130MIOXO;Wounded;Male;Student;14;
20211130MIOXO;Fatal;Female;Student;14;
20211130MIOXO;Wounded;Female;Student;17;
20211130MIOXO;Fatal;Female;Student;17;White
20211130MIOXO;Wounded;Male;Student;15;
20211130MIOXO;Fatal;Male;Student;16;
20211130MIOXO;Wounded;Male;Student;17;
20211130MIOXO;Wounded;Female;Student;14;
20211129AZCHP;Wounded;Male;Student;16;
20211126CAWES;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20211126CAWES;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20211119MDGIB;Fatal;Female;;13;
20211119COHIA;Wounded;Male;Student;Teen;
20211119COHIA;Wounded;Male;Student;Teen;
20211119COHIA;Wounded;Male;Student;Teen;
20211108NYTHB;Wounded;Male;Student;17;
20211102NMHIH;Wounded;Male;Student;Child;
20211102NMHIH;Wounded;;Student;Child;
20211102NMHIH;Wounded;;Student;Child;
20211102NMHIH;None;;Teacher;Adult;
20211030PASTM;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20211021NYPSB;Wounded;Male;No Relation;25;
20211021GABES;Non-gunshot Injury;;;;
20211018PALIP;Wounded;Male;Student;16;
20211018PALIP;Wounded;Male;No Relation;66;
20211015CAKEF;Wounded;;;;
20211015ALWIM;Wounded;Male;;;
20211015ALWIM;Wounded;Male;;;
20211015ALWIM;Wounded;Female;;;
20211015ALWIM;Wounded;Male;;;
20211014MEREP;Fatal;;No Relation;;
20211013PACHD;Non-gunshot Injury;;Student;Child;
20211013PACHD;Non-gunshot Injury;;Student;Child;
20211013PACHD;Non-gunshot Injury;;Student;Child;
20211013PACHD;Non-gunshot Injury;;Student;Child;
20211012MIELK;Wounded;Male;No Relation;15;
20211012MIELK;Wounded;Male;No Relation;17;
20211012ILWEC;Wounded;Female;Student;14;
20211012ILWEC;Wounded;Male;Security Guard;46;
20211011ORROP;Wounded;Male;Student;Teen;
20211007TXEAW;Wounded;Female;Student;Teen;
20211007DCWAW;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;26;
20211006TXTIA;Wounded;Female;Student;Teen;
20211006TXTIA;Wounded;Male;Teacher;25;
20211006TXTIA;Non-gunshot Injury;;Student;Teen;
20211006TXTIA;Wounded;Male;Student;15;
20211004PASCP;Wounded;;Police Officer/SRO;Adult;
20211004PASCP;Wounded;;Police Officer/SRO;Adult;
20211004OHWOT;Wounded;Male;Student;17;
20211001TXYEH;Wounded;Male;Principal/Vice-Principal;Adult;
20211001NCSEF;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;18;
20211001NCSEF;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;19;
20211001NCNOD;Wounded;Male;Student;17;
20211001INBEI;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;16;
20210930TNCUM;Wounded;Male;Student;13;
20210930MSNEN;Wounded;Male;Student;6;
20210928MESOS;Wounded;Male;Student;Teen;
20210927ILCAC;Non-gunshot Injury;;Student;Child;
20210927ILCAC;Non-gunshot Injury;;Student;Child;
20210927ILCAC;Non-gunshot Injury;;Student;Child;
20210924MDWIB;Wounded;Male;No Relation;18;
20210924ALFAF;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210922NYSOB;Wounded;Male;Student;17;
20210921PAVAP;Wounded;Male;Student;15;
20210921KSEAW;Wounded;Male;Student;15;
20210921KSEAW;Wounded;Male;Student;17;
20210921KSEAW;Wounded;Male;Student;15;
20210920VAHEN;Wounded;Male;Student;17;
20210920VAHEN;Wounded;Female;Student;17;
20210920OHEAC;Wounded;Male;No Relation;14;
20210920OHEAC;Wounded;Male;No Relation;15;
20210920OHEAC;Wounded;Male;No Relation;19;
20210918COWIC;Wounded;;Student;Teen;
20210918COWIC;Wounded;;Student;Teen;
20210918COWIC;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210917VAHEH;Non-gunshot Injury;Male;Student;Teen;
20210917TNAUK;Wounded;Male;;Teen;
20210917PAWEP;Wounded;;Student;16;
20210917PAWEP;Wounded;;Student;14;
20210915VASPS;None;;Student;Child;
20210915VASPS;None;;Student;Child;
20210915VASPS;None;;Student;Child;
20210915KYMAL;Wounded;Male;No Relation;Adult;
20210913SCEDC;Wounded;Male;Parent;Adult;
20210909ILCHC;Wounded;Male;No Relation;34;
20210908MNPRB;Wounded;Male;No Relation;Adult;
20210903CABUB;None;Female;Bus Driver;Adult;
20210903CABUB;None;;Student;;
20210902INWEG;Wounded;Male;Student;Teen;
20210902CASAL;Wounded;Male;Student;17;
20210902CASAL;Wounded;Male;Student;Teen;
20210901NCMTW;Fatal;Male;Student;15;Black
20210901ILFRC;Fatal;Male;No Relation;41;
20210830NJWEN;Fatal;Male;Student;Teen;
20210830NCNEW;Wounded;Male;Student;Teen;
20210830FLOKW;Non-gunshot Injury;Female;Student;Teen;
20210827VAFRW;Wounded;Male;Student;15;
20210827VAFRW;Wounded;Female;Student;14;
20210827PAACS;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210827PAACS;Fatal;Female;Nonstudent Using Athletic Facilities/Attending Game;8;Black
20210827PAACS;Wounded;;Student;Teen;
20210827PAACS;Wounded;;Student;Teen;
20210827PAACS;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210827KYAPO;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210827INHAH;Wounded;;Student;Teen;
20210827INHAH;Wounded;;Student;Teen;
20210822ILWER;Wounded;Male;Student;13;
20210820NEMIO;Wounded;Male;No Relation;24;Black
20210820NEMIO;Wounded;Female;No Relation;29;Black
20210820CACEF;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;19;Black
20210818SCORO;Wounded;;Student;Teen;
20210818SCORO;Wounded;;Student;Teen;
20210818SCORO;Wounded;;Student;Teen;
20210817COYED;Fatal;Male;Student;18;
20210814ILMAC;Wounded;Male;No Relation;15;
20210813NMWAA;Fatal;Male;Student;13;
20210812GALIL;Wounded;Male;;Adult;
20210811COMAC;Wounded;Male;No Relation;Adult;
20210810OHEAC;Wounded;Male;Former Student;15;
20210807ORGIP;Fatal;Male;No Relation;Adult;
20210806LASTH;Wounded;Female;Parent;60;
20210804ALBUM;Wounded;Male;;Teen;
20210804ALBUM;Wounded;Male;;Teen;
20210727WATYS;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210721ILTHC;Wounded;Male;No Relation;22;
20210721ILTHC;Wounded;Male;No Relation;18;
20210721ILTHC;Wounded;Male;No Relation;15;
20210721ILTHC;Wounded;Male;No Relation;17;
20210721ILTHC;Wounded;Male;No Relation;14;
20210719TXCAC;Non-gunshot Injury;Female;Student;17;
20210719TXCAC;Non-gunshot Injury;Male;Student;17;
20210708ILBEC;Wounded;Female;No Relation;34;
20210708ILBEC;Wounded;Male;Student;16;
20210704NYDRR;Fatal;Male;;16;
20210628CASLF;Wounded;Male;No Relation;Adult;
20210624ILABR;Wounded;Male;No Relation;Adult;
20210620CAGRM;Wounded;Male;No Relation;Adult;
20210614TXEAF;Wounded;Male;;Adult;
20210613PAWIP;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210612MOMCF;Fatal;Male;Student;18;Black
20210609VAWIR;Wounded;Male;Student;Teen;
20210609TXNOH;Wounded;Male;Student;18;Black
20210608KSHAK;Fatal;Male;No Relation;15;
20210607TXEAF;Fatal;Male;Student;17;
20210601ILLIC;Wounded;Male;;17;
20210517TXBRE;Non-gunshot Injury;Female;Student;13;
20210517TXBRE;Non-gunshot Injury;Male;Student;Teen;
20210517TNAUM;Wounded;Male;No Relation;Adult;
20210514CASAS;Fatal;Male;No Relation;19;Asian
20210511NYPSB;Wounded;Male;No Relation;16;
20210506SCFOC;None;Male;Bus Driver;Adult;
20210506IDRIR;Wounded;Male;Student;Teen;
20210506IDRIR;Wounded;Female;Student;11;
20210506IDRIR;Wounded;Male;Other Staff;Adult;
20210505MICRC;Wounded;Male;No Relation;Adult;
20210502ILCHC;Wounded;Female;No Relation;21;
20210502ILCHC;Wounded;Male;No Relation;29;
20210502ILCHC;Wounded;Male;No Relation;20;
20210502ILCHC;Wounded;Female;No Relation;32;
20210502ILCHC;Wounded;Female;No Relation;26;
20210501MNBES;None;Male;No Relation;Adult;
20210501MNBES;None;Male;No Relation;Adult;
20210430INMAI;Wounded;Female;Parent;Adult;
20210429NYURB;Fatal;Male;Student;17;
20210429CAVIV;Wounded;Male;Student;16;
20210427DESMS;Fatal;Female;Parent;38;
20210420TXHAH;Fatal;Male;No Relation;19;Black
20210418OHWED;Fatal;Male;No Relation;16;
20210418OHWED;Wounded;Male;No Relation;Teen;
20210413TNMAC;None;;Bus Driver;Adult;
20210412TNAUK;Wounded;Male;Police Officer/SRO;Adult;
20210412CASAS;None;Female;No Relation;33;
20210411INBIH;Fatal;Female;No Relation;43;
20210407ILPEP;None;Male;Student;16;
20210401ALSES;None;Male;Student;Teen;
20210327MAPEC;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;19;
20210324ORFOS;Fatal;Male;No Relation;17;
20210324ORFOS;Wounded;Male;No Relation;17;
20210315INMEM;Fatal;Male;No Relation;18;Black
20210315INMEM;Wounded;Male;No Relation;Teen;
20210313TXLEA;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20210311OHCIC;Wounded;Male;No Relation;Adult;
20210308SCEDC;Wounded;Male;Relative;Adult;
20210301ARWAP;Fatal;Male;Student;15;
20210226LAGEN;Fatal;Male;Police Officer/SRO;38;Black
20210224WAGAY;Wounded;Male;No Relation;16;
20210222CAHOV;Wounded;Male;No Relation;Adult;
20210219ILLIR;Fatal;Male;No Relation;30;
20210214MNROM;Wounded;;No Relation;Adult;
20210214MNROM;Fatal;Male;No Relation;53;
20210214MNROM;Fatal;Female;No Relation;34;
20210210TXFOF;Fatal;Male;No Relation;Adult;
20210210NJSCP;Fatal;Female;No Relation;41;
20210210LASTS;Non-gunshot Injury;Male;Student;4;
20210205MDBEM;Wounded;Male;No Relation;Adult;
20210201MIMUD;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;;
20210127FLHOH;Non-gunshot Injury;;Student;Teen;
20210121OHEAC;Wounded;Male;No Relation;19;
20210114MDHIW;Fatal;Male;No Relation;21;
20210110ILSOS;Wounded;Female;Student;16;Black
20210110ILSOS;Wounded;Female;Relative;20;
20201229WAROS;Wounded;Male;;Teen;
20201229WAROS;Wounded;Male;;Teen;
20201216ILDUC;Fatal;Male;No Relation;19;Black
20201207ILEAC;Fatal;Male;No Relation;21;
20201125KSABG;Wounded;Male;No Relation;16;
20201124NCHEH;Wounded;Female;Student;12;
20201116TNWIM;None;Female;No Relation;Adult;
20201113NCLIL;Wounded;Male;Student;6;White
20201112PANAH;Fatal;Male;No Relation;17;
20201112CACEU;Wounded;Male;No Relation;Adult;
20201109TXCOH;Fatal;Male;No Relation;Adult;Hispanic
20201029FLLAM;Fatal;Male;No Relation;Adult;
20201029FLLAM;Fatal;Male;No Relation;Adult;
20201026GARIR;Fatal;Male;No Relation;28;
20201020ARJAP;Fatal;Male;;16;
20201018KYSEL;Wounded;;;Teen;
20201018KYSEL;Wounded;;;Teen;
20201018KYSEL;Wounded;;;Teen;
20201014WAWAS;None;Male;No Relation;Adult;
20201014PABRB;None;Male;Bus Driver;Adult;
20201013RIRHP;Fatal;Male;No Relation;19;Black
20201013RIRHP;Wounded;Male;No Relation;Adult;
20201013RIRHP;Wounded;Male;No Relation;Adult;
20201012TXNOD;None;Male;No Relation;Adult;
20201009FLJEJ;Wounded;Male;Student;18;
20201005OKSOM;Non-gunshot Injury;;Student;Teen;
20201005ARKIH;Wounded;Male;;Adult;
20201005ARKIH;Fatal;Male;;36;Black
20200930CADYL;Wounded;Male;Student;18;Black
20200930CADYL;Wounded;;No Relation;Adult;
20200928CTEAN;Wounded;Male;No Relation;18;
20200925NJHAH;Wounded;Male;No Relation;41;
20200923PAWIW;None;Male;;;
20200923FLHIJ;None;;;;
20200918KYWIL;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20200917ORDRP;Wounded;;No Relation;Adult;
20200917OHELA;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;19;
20200917OHELA;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;40;
20200916WAARG;Wounded;Male;No Relation;Adult;
20200916CASOS;Fatal;Male;;17;
20200910ILPEP;None;;Student;;
20200909TXSOH;Wounded;Male;No Relation;18;
20200909PAWEW;None;Male;No Relation;Adult;
20200904FLLOJ;Wounded;Male;No Relation;27;
20200903GADOA;Fatal;Male;No Relation;18;
20200830TXLOD;Fatal;Male;No Relation;27;Hispanic
20200825MOWEC;Wounded;Male;No Relation;Adult;
20200817MIABG;Wounded;Male;No Relation;Adult;
20200804PAKEP;Fatal;Male;No Relation;26;
20200721SCBRO;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;28;
20200714MIWID;None;;;;
20200704INLAM;Fatal;Male;No Relation;;Hispanic
20200701ILFRP;None;;;;
20200618INJOI;Fatal;Male;No Relation;37;
20200616FLTOM;Fatal;Male;No Relation;Adult;
20200616FLTOM;Wounded;Male;No Relation;Adult;
20200603IAGAD;Wounded;Male;No Relation;18;
20200527OHLUC;None;;;;
20200525ALORM;Wounded;Male;No Relation;Adult;
20200525ALORM;Wounded;Male;No Relation;Adult;
20200525ALORM;Wounded;Male;No Relation;Adult;
20200522OHMIC;Fatal;Male;No Relation;34;
20200519VAWEM;None;;;;
20200515NCSTC;None;;;;
20200505CAGOV;Fatal;Male;No Relation;19;Hispanic
20200505CAGOV;Fatal;Male;No Relation;19;Hispanic
20200505CAGOV;Fatal;Male;No Relation;18;Hispanic
20200413NEMOO;Wounded;Male;No Relation;18;
20200330GANAS;Wounded;;No Relation;;
20200330GANAS;Wounded;;No Relation;;
20200330GANAS;Wounded;;No Relation;;
20200324LAROM;Wounded;Male;;;
20200318LABOS;Wounded;Male;Student;15;
20200315TXATH;Fatal;Male;Former Teacher;19;Black
20200313TNPIR;None;;;;
20200310PASHN;None;;;;
20200305FLSAW;Wounded;Male;Police Officer/SRO;;
20200302TXNOF;None;;;;
20200221NMCEA;None;;;;
20200215DCDUW;Fatal;Male;Nonstudent Using Athletic Facilities/Attending Game;34;
20200212MOJOF;None;;;;
20200205NHSEC;None;Male;Student;17;
20200205NHSEC;None;Female;Teacher;Adult;
20200204LABEA;None;;;;
20200203FLGEJ;Wounded;Male;No Relation;Adult;
20200201TXHIH;Wounded;Male;No Relation;Adult;
20200131CADEA;Fatal;Male;Student;16;
20200128TXLUL;Wounded;Male;Student;17;Black
20200128TNWHM;Wounded;Male;;;
20200128NYMAQ;None;Male;Student;16;
20200127WAROY;None;;;;
20200123CAOXO;Wounded;Female;Student;9;
20200121NEPAL;None;;;;
20200121ILLIC;Wounded;Male;Student;17;
20200119TXNOF;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20200119TXNOF;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;10;
20200117SCCAS;None;Male;Student;16;
20200117MITHH;Wounded;Male;Parent;Adult;
20200114TXPOM;None;;;;
20200114TXBEH;Fatal;Male;Student;19;
20200111TXELD;Fatal;Male;Former Student;18;
20200111TXELD;Wounded;Male;Police Officer/SRO;Officer;
20200110MSMCJ;Wounded;Male;Student;Teen;
20200108FLGLB;None;;;;
20200107WASOK;None;;;;
20191228MOMAS;Fatal;Male;Student;13;Black
20191221LAWES;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20191221LAWES;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20191221LAWES;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20191221LAWES;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20191219FLLEN;Fatal;Female;Student;Adult;
20191216CTCAN;Wounded;Male;Parent;Adult;
20191213VAMAN;None;Male;Student;17;
20191211KSCHT;None;;;;
20191211INEVE;None;;;;
20191210NJSAJ;None;;;;
20191210KSJCK;None;;;;
20191210ALDED;None;;;;
20191204NMPIL;None;;;;
20191203WITHM;Wounded;Female;Student;Teen;
20191203WITHM;Wounded;Female;Student;Teen;
20191203WIOSO;Wounded;Male;Student;16;
20191202WIWAW;None;Male;Student;18;
20191201ALMOM;Fatal;Female;No Relation;31;White
20191126WASAV;Wounded;Female;Parent;Adult;
20191126WASAV;Wounded;Female;Parent;Adult;
20191125ILCAC;Wounded;Male;No Relation;37;
20191124CASEU;Fatal;Male;No Relation;14;
20191124CASEU;Fatal;Male;No Relation;11;
20191121ILRIO;Wounded;;Student;14;
20191115NJPLP;Fatal;Male;Relative;10;
20191115NJPLP;Wounded;Male;Student;15;
20191115NJPLP;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;27;
20191114CASAS;Fatal;Female;Student;15;
20191114CASAS;Wounded;Female;Student;15;
20191114CASAS;Wounded;Female;Student;14;
20191114CASAS;Wounded;Male;Student;14;
20191114CASAS;Fatal;Male;Student;14;
20191113CAESL;Fatal;Male;No Relation;Adult;
20191111MDACB;Wounded;Male;Student;19;
20191108TXROD;Fatal;Male;Former Student;15;Black
20191108CAEDS;None;;;;
20191029NYNEN;Wounded;Female;Student;16;
20191027MDLAL;Wounded;Female;No Relation;38;
20191022NJBRB;Wounded;Male;Student;Teen;
20191022CARIS;Wounded;Male;Student;16;
20191018OHWOT;None;;;;
20191018GACRS;Wounded;Male;;;
20191015LAGEN;Wounded;Male;Student;17;
20191011LARAR;None;;;;
20191009MAGRL;Wounded;;Student;Child;
20191009MAGRL;Wounded;;Student;Child;
20191009MAGRL;Wounded;;Student;Child;
20191009MAGRL;Wounded;;Student;Child;
20191009MAGRL;Wounded;;Student;Child;
20191008TXWEH;Wounded;;Student;Teen;
20191008COSHS;Wounded;Male;Rival School Student;Teen;
20191002GASOA;None;;;;
20190927NCZEC;None;;;;
20190927CADER;Wounded;Female;Student;16;
20190927CADER;Wounded;Male;Student;17;
20190927CADER;Wounded;Male;Student;17;
20190920PASIP;Wounded;Male;Unknown;14;
20190920PASIP;Wounded;Male;Unknown;15;
20190918MNFOC;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;45;
20190916VAPHH;Fatal;Male;No Relation;38;
20190916ILILK;None;;;;
20190914TXEAF;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;12;
20190914TXEAF;Wounded;Female;Nonstudent Using Athletic Facilities/Attending Game;Adult;
20190913VAETN;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;19;
20190913VAETN;Wounded;;Student;14;
20190913VAETN;Wounded;;Nonstudent Using Athletic Facilities/Attending Game;19;
20190913UTGRW;None;;;;
20190912KSMAM;None;;;;
20190910SCSOA;None;;;;
20190906PAWEM;Wounded;Female;Student;;
20190906PAMCJ;Fatal;Male;;48;Black
20190906ALCEC;None;;;;
20190902MDNOB;Fatal;Male;No Relation;Adult;
20190902MDNOB;Wounded;Male;No Relation;Adult;
20190902MDNOB;Wounded;Male;No Relation;Adult;
20190830OHCET;Wounded;Male;Nonstudent Using Athletic Facilities/Attending Game;16;
20190830NCKIK;None;;;;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190830ALLAM;Wounded;;Student;Teen;
20190827NYROR;None;;;;
20190827CAHOL;Wounded;Male;Student;Teen;
20190824PAWIP;Fatal;Male;No Relation;14;Black
